congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,318,2015-12-03,1,318,55,44,0.018,-0.085,-0.331,-0.555,-5.159,HR3762,Motion Rejected,Relating to the Protect America Act of 2015.,On the Motion,
114,Senate,319,2015-12-03,1,319,45,54,0.053,-0.092,0.315,0.398,-5.752,HR3762,Motion Rejected,To increase public safety by permitting the Attorney General to deny the transfer of firearms or the issuance of firearms and explosives licenses to known or suspected dangerous terrorists.,On the Motion,
114,Senate,320,2015-12-03,1,320,53,46,0.049,-0.004,-0.22,-0.322,-11.539,HR3762,Motion Rejected,"To address gun violence, improve the availability of records to the National Instant Criminal background Check System, address mental illness in the criminal justice system, and end straw purchases and trafficking of illegal firearms, and for other purposes.",On the Motion,
114,Senate,321,2015-12-03,1,321,48,50,0.118,-0.048,0.239,0.542,-11.476,HR3762,Motion Rejected,"To protect Second Amendment rights, ensure that all individuals who should be prohibited from buying a firearm are listed in the National Instant Criminal Background Check System, and provide a responsible and consistent background check process.",On the Motion,
114,Senate,322,2015-12-03,1,322,47,52,0.163,-0.084,0.396,0.286,-3.903,HR3762,Motion Rejected,To provide additional amounts to the Department of Veterans Affairs to increase the access of veterans to care and improve the physical infrastructure of the Department of Veterans Affairs and to impose a fair share tax on high-income taxpayers.,On the Motion,
114,Senate,323,2015-12-03,1,323,10,89,0.67,0.122,-0.202,-0.28,-24.347,HR3762,Amendment Rejected,"To prevent the entry of extremists into the United States under the refugee program, and for other purposes.",On the Amendment,
114,Senate,324,2015-12-03,1,324,60,39,-0.145,-0.082,-0.381,0.088,-10.485,HR3762,Amendment Agreed to,"To amend the Internal Revenue Code of 1986 to extend the special rule for seniors relating to the income level for deduction of medical care expenses, and for other purposes.",On the Amendment,
114,Senate,325,2015-12-03,1,325,54,45,0.05,-0.088,-0.323,-0.398,-5.597,HR3762,Amendment Rejected,To restore Second Amendment rights in the District of Columbia.,On the Amendment,
114,Senate,326,2015-12-03,1,326,52,47,0.151,-0.083,-0.297,-0.181,-7.595,HR3762,Motion Rejected,In the nature of a substitute.,On the Motion,
114,Senate,327,2015-12-03,1,327,45,54,0.036,-0.083,0.457,-0.172,-0.381,HR3762,Motion Rejected,To ensure that individuals can keep their health insurance coverage.,On the Motion,
